serving_id,line_id,brand_name,serve_ends,consumption
64221951,4687,Goose Island - Honker's Ale,3/19/2017 0:04,0.46
64221981,4728,Carlsberg,3/19/2017 0:01,0.01
64221982,4728,Carlsberg,3/19/2017 0:03,1.28
64221983,4728,Carlsberg,3/19/2017 0:04,0.37
64222000,4736,Guinness,3/19/2017 0:04,0.32
64222011,7908,St Ambroise IPA,3/19/2017 0:01,1.96
64222012,7908,St Ambroise IPA,3/19/2017 0:02,0.05
64222019,4771,Griffon - Red,3/19/2017 0:04,0.43
64222020,4771,Griffon - Red,3/19/2017 0:04,0.43
64222035,4773,Tremblay Blonde,3/19/2017 0:00,0.42
64222036,4773,Tremblay Blonde,3/19/2017 0:01,1.7
64222037,4773,Tremblay Blonde,3/19/2017 0:02,0.46
64222047,4776,Griffon - Blonde,3/19/2017 0:01,0.46
64222050,4777,Griffon - Red,3/19/2017 0:03,0.48
64222065,4783,Goose Island - Honker's Ale,3/19/2017 0:01,0.47
64222085,4785,Labatt 50,3/19/2017 0:00,0.9
64222086,4785,Labatt 50,3/19/2017 0:03,0.42
64222087,4794,Dublin's Pub Cider,3/19/2017 0:03,0.55
64222096,4801,Stella Artois,3/19/2017 0:00,0.9
64222100,4802,Hoegaarden,3/19/2017 0:04,0.44
64222106,12646,Goose Island - IPA,3/19/2017 0:00,0.87
64222136,4850,Molson Canadian,3/19/2017 0:05,0.57
64222143,4852,Stella Artois,3/19/2017 0:01,1.66
64222146,4853,Stella Artois,3/19/2017 0:02,0.59
64222225,5094,Miss Demeanor,3/19/2017 0:01,0.56
64222226,5094,Miss Demeanor,3/19/2017 0:03,0.54
64222232,5229,Dublin's Pub Cider,3/19/2017 0:00,0.08
64222233,5229,Dublin's Pub Cider,3/19/2017 0:02,0.05
64222247,5235,St Ambroise Cream Ale,3/19/2017 0:03,0.49
64222270,5247,Labatt 50,3/19/2017 0:03,0.31
64222597,6825,Guinness,3/19/2017 0:00,0.42
64222598,6825,Guinness,3/19/2017 0:02,0.19
64222601,6867,Labatt 50,3/19/2017 0:03,1.65
64222639,6993,Alexander Keith's Red,3/19/2017 0:05,3.74
64222659,7091,Dublin's Pub Cider,3/19/2017 0:01,0.57
64222672,7094,Mill St. Organic Lager,3/19/2017 0:01,0.87
64222686,7096,Alexander Keith's IPA,3/19/2017 0:01,0.52
64222687,7096,Alexander Keith's IPA,3/19/2017 0:02,0.54
64222694,7099,Hoegaarden,3/19/2017 0:00,0.9
64222695,7099,Hoegaarden,3/19/2017 0:00,0.9
64222701,7102,Stella Artois,3/19/2017 0:05,1.83
64222728,7133,Guinness,3/19/2017 0:03,0.01
64222729,7133,Guinness,3/19/2017 0:03,0.47
64222744,7153,Labatt 50,3/19/2017 0:03,2.23
64222747,11851,Mill St. Cobblestone Stout,3/19/2017 0:00,0.57
64222748,11851,Mill St. Cobblestone Stout,3/19/2017 0:02,0.58
64222765,7164,Budweiser,3/19/2017 0:01,0.53
64222808,7207,Budweiser,3/19/2017 0:04,1.51
64222887,7295,Labatt 50,3/19/2017 0:01,3.46
64222950,7311,Shock Top,3/19/2017 0:01,1.63
64223008,7384,Bud Light,3/19/2017 0:03,1.07
64223015,7386,Labatt 50,3/19/2017 0:03,0.6
64223062,12537,Bud Light,3/19/2017 0:03,0.51
64223066,7403,Budweiser,3/19/2017 0:02,1.6
64223073,7409,Labatt 50,3/19/2017 0:00,1.07
64223074,7409,Labatt 50,3/19/2017 0:00,0.67
64223086,7415,Goose Island - Honker's Ale,3/19/2017 0:05,1.6
64223088,7417,Hoegaarden,3/19/2017 0:03,1.51
64223107,7468,Labatt 50,3/19/2017 0:01,1.02
64223108,7468,Labatt 50,3/19/2017 0:02,0.07
64223109,7468,Labatt 50,3/19/2017 0:04,1.71
64223120,7474,Labatt 50,3/19/2017 0:00,0.55
64223121,7474,Labatt 50,3/19/2017 0:01,1.16
64223122,7474,Labatt 50,3/19/2017 0:03,0.58
64223152,7513,Budweiser,3/19/2017 0:02,0.53
64223165,7528,Alexander Keith's Red,3/19/2017 0:02,0.49
64223207,7551,Labatt 50 Blue,3/19/2017 0:01,1.47
64223226,7558,Labatt 50,3/19/2017 0:04,0.57
64223232,7559,Alexander Keith's IPA,3/19/2017 0:03,0.98
64223242,7565,Shock Top,3/19/2017 0:04,1.72
64223248,7567,Goose Island - IPA,3/19/2017 0:03,0.52
64223256,7577,Budweiser,3/19/2017 0:00,0.9
64223264,7587,Budweiser,3/19/2017 0:03,0.56
64223265,7587,Budweiser,3/19/2017 0:03,0.12
64223302,7651,Stella Artois,3/19/2017 0:04,0.58
64223385,7975,Budweiser,3/19/2017 0:05,1.59
64223391,7998,Labatt 50,3/19/2017 0:04,1.5
64223435,8015,Budweiser,3/19/2017 0:02,1.42
64223494,8103,Pretty Bastard,3/19/2017 0:00,0.18
64223495,8103,Pretty Bastard,3/19/2017 0:01,0.03
64223496,8103,Pretty Bastard,3/19/2017 0:01,0.06
64223497,8103,Pretty Bastard,3/19/2017 0:02,0.08
64223498,8103,Pretty Bastard,3/19/2017 0:02,0.07
64223499,8103,Pretty Bastard,3/19/2017 0:03,0.15
64223500,8103,Pretty Bastard,3/19/2017 0:03,0.07
64223588,8402,Goose Island - IPA,3/19/2017 0:00,1.19
64223597,8404,Alexander Keith's Red,3/19/2017 0:02,0.43
64223598,8404,Alexander Keith's Red,3/19/2017 0:04,0.02
64223657,8447,Goose Island - Honker's Ale,3/19/2017 0:04,0.56
64223658,8447,Goose Island - Honker's Ale,3/19/2017 0:04,0.05
64223672,8448,Labatt 50,3/19/2017 0:01,1.61
64223683,8451,Stella Artois,3/19/2017 0:01,1.7
64223710,8454,Shock Top,3/19/2017 0:00,1.66
64223728,8456,Labatt 50,3/19/2017 0:04,0.52
64223735,8457,Alexander Keith's Red,3/19/2017 0:03,0.53
64223807,8564,Budweiser,3/19/2017 0:04,0.51
64223814,8565,Shock Top,3/19/2017 0:04,0.49
64223824,8566,Stella Artois,3/19/2017 0:00,1.61
64223851,8570,Archibald Joufflue,3/19/2017 0:02,2.69
64224565,9738,Labatt 50 Blue,3/19/2017 0:01,0.58
64224566,9738,Labatt 50 Blue,3/19/2017 0:03,0.59
64224615,9747,Guinness,3/19/2017 0:00,0.34
64224616,9747,Guinness,3/19/2017 0:01,0.02
64224617,9747,Guinness,3/19/2017 0:01,0.38
64224618,9747,Guinness,3/19/2017 0:02,0.4
64224629,9750,Goose Island - IPA,3/19/2017 0:00,0.59
64225540,10773,Stella Artois,3/19/2017 0:04,1.6
64225913,11621,Budweiser,3/19/2017 0:02,1.7
64229000,8047,Budweiser,3/19/2017 0:02,1.05
64229001,8047,Budweiser,3/19/2017 0:04,1.5
64232935,4685,Stella Artois,3/19/2017 0:13,0.44
64232937,4687,Goose Island - Honker's Ale,3/19/2017 0:28,0.45
64232938,4687,Goose Island - Honker's Ale,3/19/2017 0:40,0.41
64232939,4687,Goose Island - Honker's Ale,3/19/2017 0:54,0.05
64232940,4687,Goose Island - Honker's Ale,3/19/2017 0:54,0.45
64232941,4690,Labatt 50,3/19/2017 0:54,0.45
64232942,4693,Michel Jodoin,3/19/2017 0:05,0.21
64232943,4697,Carlsberg,3/19/2017 0:05,0.37
64232944,4707,Griffon - Blonde,3/19/2017 1:01,0.49
